age_group,median_perc_male,ci_95_lb_male,ci_95_ub_male,median_perc_female,ci_95_lb_female,ci_95_ub_female,median_perc_mean,ci_95_lb_mean,ci_95_ub_mean
0-19,0.7,0.3,1.5,0.5,0.2,1,0.6,0.2,1.3
20-29,1.3,0.8,1.9,0.9,0.5,1.3,1.1,0.7,1.6
30-39,2.2,1.7,2.7,1.5,1.2,1.9,1.9,1.5,2.3
40-49,3.8,3.3,4.4,2.6,2.3,3,3.3,2.9,3.8
50-59,7.6,7,8.2,5.2,4.8,5.6,6.5,6,7
60-69,14.8,14.1,15.6,10.1,9.5,10.6,12.6,12,13.2
70-79,24.6,23.7,25.6,16.7,16,17.4,21,20.3,21.7
80+,37.1,36.1,38.2,25.2,24.4,26,31.6,30.9,32.4
