"date","age_group","n","seropos","seroprev"
2021-02-14,"20-29",60,12,"20 (10.8--32.3)"
2021-02-14,"30-39",90,15,"16.7 (9.6--26)"
2021-02-14,"40-49",78,17,"21.8 (13.2--32.6)"
2021-02-14,"50-59",95,17,"17.9 (10.8--27.1)"
2021-02-14,"60-69",93,18,"19.4 (11.9--28.9)"
2021-02-14,"70+",47,9,"19.1 (9.1--33.3)"
